,total_utility_bill,commission,sex,age,car,marital_status,child,citizenthip
0,28.5,7.81,0,1,1,1,0,1
1,20.76,8.02,0,0,1,0,1,2
2,30.6,4.09,0,0,0,0,2,1
3,19.2,9.43,1,0,0,0,1,3
4,37.15,8.0,1,0,1,1,1,2
5,49.75,5.42,1,0,1,0,0,3
6,27.27,9.76,0,0,0,0,3,3
7,43.54,5.68,1,1,1,1,2,3
8,39.22,4.38,1,0,0,1,2,2
9,16.53,3.24,0,0,0,0,3,3
10,14.4,8.09,0,0,0,0,3,1
11,13.16,8.68,1,0,0,0,3,0
12,2.13,9.14,0,1,1,0,0,0
13,16.51,7.6,0,1,1,1,2,1
14,48.83,4.22,1,1,0,1,1,0
15,43.42,3.01,1,0,1,1,0,3
16,8.61,8.08,0,1,1,1,2,1
17,33.56,2.99,0,0,0,1,0,3
18,43.4,4.34,1,1,0,0,2,0
19,12.31,9.6,0,1,1,0,3,2
20,8.28,7.86,1,0,0,0,3,0
21,26.53,3.23,0,1,1,0,1,2
22,29.76,4.18,0,0,1,0,0,3
23,46.42,9.06,0,1,1,1,1,0
24,23.08,8.52,0,0,0,1,0,3
25,28.42,4.65,0,0,0,0,0,0
26,40.38,5.18,1,1,0,0,1,0
27,26.86,9.92,0,0,1,1,3,2
28,19.02,8.84,1,1,0,0,0,3
29,40.61,8.7,1,1,1,1,3,3
30,5.18,2.14,1,0,0,0,0,0
31,49.46,7.98,1,0,1,0,3,1
32,4.96,8.58,0,0,1,1,3,3
33,12.57,8.86,1,1,0,1,1,1
34,23.15,7.05,0,0,0,0,3,3
35,32.35,2.28,1,1,0,0,0,3
36,23.67,2.06,0,1,0,0,2,1
37,2.47,1.29,1,0,0,0,3,2
38,24.61,8.53,0,0,1,1,3,1
39,4.72,6.95,0,0,0,1,1,2
40,9.6,9.44,0,0,0,1,0,0
41,42.2,9.76,1,1,1,1,1,2
42,23.91,1.46,1,1,1,0,3,0
43,45.87,6.12,1,0,1,1,1,3
44,3.84,6.16,1,1,1,1,2,3
45,11.67,8.02,1,0,0,1,1,0
46,36.1,3.73,0,0,1,0,3,2
47,7.52,5.02,1,1,1,0,0,1
48,30.55,7.35,0,1,0,1,0,0
49,35.06,7.28,1,0,0,0,3,3
50,34.44,4.01,0,0,0,0,1,2
51,32.73,5.21,1,1,1,1,3,1
52,45.68,1.09,1,1,1,1,0,3
53,5.42,2.03,1,0,1,0,2,1
54,3.2,3.37,1,0,1,0,1,3
55,47.94,9.56,1,1,0,0,3,3
56,14.49,4.4,0,1,0,0,0,3
57,6.72,1.85,0,1,0,0,3,2
58,5.5,8.75,1,0,0,0,3,2
59,34.03,3.33,0,1,1,1,2,0
60,4.03,4.06,1,1,1,1,3,2
61,30.57,4.85,1,1,1,0,0,0
62,28.81,7.69,1,0,1,0,2,0
63,25.2,8.04,1,0,0,1,0,1
64,5.46,4.55,1,1,1,0,2,1
65,49.64,3.99,1,1,1,1,2,3
66,40.36,5.73,1,1,0,0,3,3
67,22.72,2.26,1,1,1,0,0,2
68,18.22,9.48,1,1,1,0,3,1
